system_name,task,env_name,run_id,episode_return,win_rate,time_series_total,ppo_epochs,max_grad_norm,ent_coef,critic_lr,num_minibatches,clip_eps,actor_lr,recurrent_chunk_size,num_envs,num_updates,num_evaluation
rec_ppo_central,15x15-4p-5f,lbf,CEN-35242,0.6200281977653503,,56.82054813951254,2,0.5,0.01,0.0005,4,0.2,0.0005,16.0,64,1220,122
rec_ppo_central,10x10-3p-3f,lbf,CEN-35178,0.96875,,110.82177963852882,8,0.5,0.01,0.0005,4,0.1,0.00025,32.0,64,1220,122
rec_ppo_central_factored,con-15x15x23a,vector-connector,CEN-37904,-0.12732328474521637,,-20.96746200695634,4,10.0,0.0,0.0005,8,0.05,0.00025,8.0,64,1220,122
rec_ppo_central_factored,con-10x10x10a,vector-connector,CEN-38020,0.177781343460083,,8.480664924252778,4,10.0,0.0,0.0005,8,0.05,0.00025,8.0,64,1220,122
rec_ppo_central_factored,con-7x7x5a,vector-connector,CEN-37988,0.6745626330375671,,71.64501045458019,8,5.0,1e-05,0.00025,8,0.05,0.00025,8.0,64,1220,122
rec_ppo_central_factored,xlarge-4ag-hard,rware,CEN-37913,0.0,,0.21875,4,10.0,0.01,0.00025,4,0.05,0.0005,128.0,64,1220,122
rec_ppo_central_factored,xlarge-4ag,rware,CEN-37982,0.0,,0.5,2,0.5,0.01,0.0001,8,0.05,0.0001,8.0,64,1220,122
rec_ppo_central_factored,con-5x5x3a,vector-connector,CEN-37795,0.8143750429153442,,93.98782363533974,8,10.0,1e-05,0.0001,2,0.2,0.0005,16.0,64,1220,122
rec_ppo_central_factored,large-4ag-hard,rware,CEN-37886,0.0,,0.375,4,10.0,0.01,0.00025,4,0.05,0.0005,128.0,64,1220,122
rec_ppo_central_factored,large-8ag-hard,rware,CEN-37857,0.0,,0.28125,2,10.0,0.01,0.00025,8,0.05,0.00025,32.0,64,1220,122
rec_ppo_central_factored,large-4ag,rware,CEN-37764,0.0,,0.5,4,10.0,0.01,0.00025,4,0.05,0.0005,128.0,64,1220,122
rec_ppo_central_factored,medium-6ag,rware,CEN-37441,0.0625,,1.25,8,5.0,1e-05,0.00025,8,0.05,0.0001,32.0,64,1220,122
rec_ppo_central_factored,large-8ag,rware,CEN-37544,0.0,,0.71875,8,0.5,0.0,0.00025,2,0.1,0.0001,128.0,64,1220,122
rec_ppo_central_factored,medium-4ag-hard,rware,CEN-37874,0.03125,,0.71875,8,0.5,1e-05,0.00025,8,0.05,0.00025,64.0,64,1220,122
rec_ppo_central_factored,medium-4ag,rware,CEN-37581,0.8125,,37.3125,8,0.5,1e-05,0.0005,8,0.1,0.00025,8.0,64,1220,122
rec_ppo_central_factored,tiny-4ag-hard,rware,CEN-37709,8.5,,469.25,8,0.5,0.01,0.0005,8,0.2,0.00025,16.0,64,1220,122
rec_ppo_central_factored,tiny-2ag-hard,rware,CEN-37620,9.96875,,820.34375,8,0.5,0.0,0.00025,8,0.1,0.00025,128.0,64,1220,122
rec_ppo_central_factored,small-4ag,rware,CEN-37619,1.78125,,70.65625,8,0.5,0.01,0.00025,8,0.2,0.00025,64.0,64,1220,122
rec_ppo_central_factored,small-4ag-hard,rware,CEN-37700,0.0,,1.1875,4,10.0,0.01,0.00025,4,0.05,0.0005,32.0,64,1220,122
rec_ppo_central_factored,27m_vs_30m,smax,CEN-37413,1.3360416889190674,,133.67479366064072,8,10.0,0.0,0.00025,8,0.05,0.0001,128.0,64,1220,122
rec_ppo_central_factored,tiny-4ag,rware,CEN-37380,9.0,,505.40625,8,0.5,0.01,0.0001,8,0.1,0.00025,16.0,64,1220,122
rec_ppo_central_factored,smacv2_20_units,smax,CEN-37073,0.6622735261917114,,95.13490518927574,4,10.0,0.0,0.00025,2,0.1,0.0005,128.0,64,1220,122
rec_ppo_central_factored,smacv2_5_units,smax,CEN-37288,1.4450068473815918,,148.80100345611572,4,10.0,0.0,0.00025,8,0.05,0.00025,128.0,64,1220,122
rec_ppo_central_factored,smacv2_10_units,smax,CEN-36941,0.9741665720939636,,103.40368013083935,8,10.0,0.0,0.00025,2,0.1,0.0001,128.0,64,1220,122
rec_ppo_central_factored,6h_vs_8z,smax,CEN-37313,2.0,,231.9226489365101,4,5.0,1e-05,0.00025,8,0.2,0.0005,128.0,64,1220,122
rec_ppo_central_factored,tiny-2ag,rware,CEN-37326,15.46875,,1107.9375,8,10.0,0.01,0.0005,4,0.1,0.00025,16.0,64,1220,122
